# Unmatched product spellings (no master product >= score 0.9)
# Candidates for manual seeding into product_master.json.
# 1802 spellings.

***EBERFINE	[COSMO]
***NEVLON MOISTURISING BABY	[COSMO]
***OXIDOX 130MG	[PHARMA]
**EKRAN SOFT SILI GEL 50SP	[COSMO]
47 SOFIKID SYP	[PEDIA]
49 SOFIKID ZN SYRUP	[PEDIA]
5 10098 EBERFINE CREAM	[PHARMA]
5 3837 MFSONE CREAM	[DERMA]
5 3870 EKRAN	[COSMO]
5 COSMOQ AC SUNSCREEN GEL	[COSMO]
5 COSMOQ M	[COSMO Q]
5 DESOSOFT	[PEDIA]
5 EBERFINE-M	[COSMO]
5 EKRAN-MS GEL	[COSMO]
5 KLCE0001 KLCEPO 200MG 1*10TAB	[COSMOCOR]
5 KLM KLIN AHA FACE WASH	[DERMACOR]
5 MELBOOST	[COSMOCOR]
5 MFSONE	[COSMO]
5 NEVLON	[DERMA]
5 NEVLON AD	[COSMO]
5 SOFIDEW	[PEDIA]
50 SOFIRASH NAPPY RASH5 0CGRMEAM	[PEDIA]
51 SOFIRASH NAPPY RASH3 0C RGEMAM	[PEDIA]
52 SPASTRET	[PEDIA]
56 TRIPTOFER TAB 10 T	[PEDIA]
57 XEPIBACT CREAM 5GM5	[PEDIA]
58 Z KLCLAV DS	[PEDIA]
5T0OGDMDRUB OINT 12%	[PEDIA]
6 3868 MFSUDIF	[DERMA]
6 COSMOQ BRIGHTNING SERUM	[COSMO]
6 COSMOQ OC M GEL	[COSMO Q]
6 EBER0002 EBERFINE XL CREAM	[PHARMA]
6 EKRA0002 EKRAN MS GEL (50 GM)	[COSMO]
6 ESSFOL TAB 10 T	[PEDIA]
6 EXTEND TOTAL	[COSMO]
6 FENT0001 FENTISPOR	[PEDIA]
6 HERPIVAL-1000	[COSMO]
6 IMXIA	[COSMO]
6 KENZ	[COSMO]
6 KLM KLIN FACE WASH	[DERMACOR]
6 MELB0001 MELBOOST	[COSMOCOR]
6 MFSUDIF	[COSMO]
6 MUPISOFT	[PEDIA]
6 SACCTIK PLUS MINI BOTTLE BOTTEL	[COSMO]
6 SOFIDEW BABY	[PEDIA]
7 14845 EBERFINE-M	[PHARMA]
7 20255 MELBOOST NXT TAB (10 TAB)	[COSMOCOR]
7 9641 EKRAN SOFT SILICONE SUNS GEL	[COSMO]
7 COSMOQ FACEWASAH GEL N	[COSMO]
7 COSMOQ S BRIGHT SERUM	[COSMO Q]
7 EVAKLIN MEDICATED W10A0S HM 1L00ML	[PEDIA]
7 HICOSYN	[PHARMA]
7 HIST0006 HISTABIL M (10 TAB)	[PEDIA]
7 KENZ DUSTING POWDER	[COSMO]
7 KLMC-20 SERUM	[DERMACOR]
7 NADITRET	[COSMO]
7 NEVL0006 NEVLON AD LOTION (150ML)	[DERMA]
7 NEVLON INTENSE MOIST	[DERMA]
7 NIOCLEAN-AD GEL	[COSMO]
7 SOFIDEW BABY MOIST	[PEDIA]
8 5654 NEVLON CALOE LOTION	[DERMA]
8 COSM0001 COSMOQ OC MOISTTURIZING GEL (60 GM)	[COSMO Q]
